id,en,cn
help-ArAr-formats,Input format,输入格式:
ArAr-format-3,3. Three ratios,
help-Ar40Ar36,Atmospheric <sup>40</sup>Ar/<sup>36</sup>Ar ratio:,大气<sup>40</sup>Ar/<sup>36</sup>Ar 比值
help-LambdaK40,<sup>40</sup>K decay constant:,<sup>40</sup>K 衰变常数:
help-show_p,Show p-value for concordance,
help-ArAr-i2i,Use isochron intercept as initial <sup>40</sup>Ar/<sup>36</sup>Ar-ratio,
help-KCa-i2i,Use isochron intercept as initial <sup>40</sup>Ca/<sup>44</sup>Ca-ratio,
help-SmNd-i2i,Use isochron intercept as initial <sup>143</sup>Nd/<sup>144</sup>Nd-ratio,
help-RbSr-i2i,Use isochron intercept as initial <sup>87</sup>Sr/<sup>86</sup>Sr-ratio,
help-LuHf-i2i,Use isochron intercept as initial <sup>176</sup>Hf/<sup>177</sup>Hf-ratio,
help-ThU-i2i,Use the isochron intercept to estimate the initial <sup>230</sup>Th/<sup>238</sup>U-ratio,
help-sigdig,Significant digits:,
help-randomeffects,Random effects model?,
help-outliers,Reject outliers?,
help-ranked,Rank the ages?,
help-UPb-age-type,Type of U-Pb age:,
UPb-age-type-1,1: 07/35 age,
UPb-age-type-2,2: 06/38 age,
UPb-age-type-3,3: 07/06 age,
UPb-age-type-4,4: 7/6/8 age,
UPb-age-type-5,5: concordia age,
UPb-age-type-6,6: 08/32 age,
discordance-filter-none,none,
discordance-filter-before-common-Pb,before common Pb correction,
discordance-filter-after-common-Pb,after common Pb correction,
help-mindisc,Minimum discordance:,
help-maxdisc,Maximum discordance:,
help-mint-average,Minimum age limit,
help-maxt-average,Maximum age limit:,
help-alpha,Probability cutoff:,
help-clabel,Colour label:,
help-outlier-col,Outlier colour:,
help-bg,Fill colour:,
help-cex,Font magnification:,
help-colmap,Colour map:,
help-pch-cad,Plot character:,
help-concordia-type,Concordia type:,
conc-age-option-0,no,
conc-age-option-1,concordia,
conc-age-option-2,discordia (model-1),
conc-age-option-3,discordia (model-2),
conc-age-option-4,discordia (model-3),
no-discordia-anchor,no,
discordia-age-anchor,age,
help-tanchor,Discordia anchor:,
help-mint-concordia,Minimum t:,最小量 t:
help-maxt-concordia,Maximum t:,最大量 t:
help-minx-concordia,Minimum X:,最小量 X:
help-maxx-concordia,Maximum X:,最大量 X:
help-miny-concordia,Minimum Y:,最小量 Y:
help-maxy-concordia,Maximum Y:,最大量 Y:
help-mineral-option,Mineral:,
FT-ICP-absolute,ICP (absolute),
FT-ICP-zeta,ICP (&zeta;),
help-ellipse-col,Ellipse colour:,
help-concordia-ticks,Age ticks:,
help-exterr-UPb,Propagate systematic uncertainties?,传播系统的不确定性?
help-shownumbers,Show sample numbers?,
help-headers-on,Sample names on first row?,
help-hide-detritals,Samples to omit:,
help-transform-evolution,Plot as <sup>234</sup>U/<sup>238</sup>U vs. age?,
help-isochron-evolution,Calculate isochron age?,
help-evolution-isochron-models,Regression model:,
FT-EDM,EDM,
help-FT-formats,Method:,
help-max48,Maximum <sup>234</sup>U/<sup>238</sup>U:,最大量 <sup>234</sup>U/<sup>238</sup>U:
help-min48,Minimum <sup>234</sup>U/<sup>238</sup>U:,最小量 <sup>234</sup>U/<sup>238</sup>U:
help-max08,Maximum <sup>230</sup>Th/<sup>238</sup>U:,最大量 <sup>230</sup>Th/<sup>238</sup>U:
help-min08,Minimum <sup>230</sup>Th/<sup>238</sup>U:,最小量 <sup>230</sup>Th/<sup>238</sup>U:
help-maxt-evolution,Maximum age:,
help-mint-evolution,Minimum age:,
isochron-model-3,3. maximum likelihood (with overdispersion),
isochron-model-2,2. ordinary least squares,
isochron-model-1,1. maximum likelihood,
apatite,apatite,
zircon,zircon,
help-U238U235,<sup>238</sup>U/<sup>235</sup>U ratio:,<sup>238</sup>U/<sup>235</sup>U 比率:
help-LambdaU238,<sup>238</sup>U decay constant:,<sup>238</sup>U 衰变常数:
help-LambdaFission,<sup>238</sup>U fission decay constant:,
help-etchfact,efficiency factor:,
help-tracklength,equivalent isotropic track length:,
help-mindens,mineral density:,
help-logratio,Logratio plot:,
help-showcentralcomp,Show central composition?,
helioplot-model-1,1. Weighted mean,
helioplot-model-2,2. Unweighted mean,
helioplot-model-3,3. Weighted mean with overdispersion,
help-minx-helioplot,Minimum log[U/He] limit:,
help-maxx-helioplot,Maximum log[U/He] limit:,
help-miny-helioplot,Minimum log[Th/He] limit:,
help-maxy-helioplot,Maximum log[Th/He] limit:,
help-fact,Scaling factors:,
help-ierr,Input errors:,
1se-abs,1se (abs),
2se-abs,2se (abs),
1se-rel,1se (%),
2se-rel,2se (%),
help-conc-age-option,Calculate,
help-anchor-option,Anchored discordia line?,
help-ThU-isochron-types,Type:,
help-UPb-isochron-types,Type:,
Rosholt-A,1. <tt>0/2</tt> vs. <tt>8/2</tt> (Rosholt A),
Rosholt-B,3. <tt>4/2</tt> vs. <tt>8/2</tt> (Rosholt B),
Osmond-A,2. <tt>0/8</tt> vs. <tt>2/8</tt> (Osmond A),
Osmond-B,4. <tt>4/8</tt> vs. <tt>2/8</tt> (Osmond B),
UPb-isochron-type-1,1. <tt>(04 or 08c)/06</tt> vs. <tt>38/06</tt>,
UPb-isochron-type-2,2. <tt>(04 or 08c)/07</tt> vs. <tt>35/07</tt>,
help-isochron-models,Model:,
help-SmNd-inverse,Inverse isochron,
help-RbSr-inverse,Inverse isochron,
help-KCa-inverse,Inverse isochron,
help-ArAr-inverse,Inverse isochron,
help-PbPb-inverse,Inverse isochron,
help-ReOs-inverse,Inverse isochron,
help-LuHf-inverse,Inverse isochron,
help-PbPb-growth,Add Stacey-Kramers Pb-Pb growth curve?,
help-isochron-minx,Minimum X:,最小量 X:
help-isochron-maxx,Maximum X:,最大量 X:
help-isochron-miny,Minimum Y:,最小量 Y:
help-isochron-maxy,Maximum Y:,最大量 Y:
help-log,Take logarithms?,
help-pchdetritals,Plot character:,
help-binwidth,Histogram binwidth:,
help-bandwidth,Kernel bandwidth:,
help-Ca40Ca44,<sup>40</sup>Ca/<sup>44</sup>Ca ratio:,<sup>40</sup>Ca/<sup>44</sup>Ca 比率:
KCa-format-3,3. Three ratios,
KCa-format-2,2. Inverse,2.相反
KCa-format-1,1. Normal,1.正常
help-KCa-formats,Input format:,输入格式:
help-showhist,Show histogram?,
help-adaptive,Adaptive KDE?,
help-samebandwidth,Same bandwidth for all samples?,
help-normalise,Normalise area under the KDEs?,
help-Lu176Lu175,<sup>176</sup>Lu/<sup>175</sup>Lu ratio:,<sup>176</sup>Lu/<sup>175</sup>Lu 比率:
help-Hf174Hf177,<sup>174</sup>Hf/<sup>177</sup>Hf ratio:,<sup>174</sup>Hf/<sup>177</sup>Hf 比率:
help-Hf176Hf177,<sup>176</sup>Hf/<sup>177</sup>Hf ratio:,<sup>176</sup>Hf/<sup>177</sup>Hf 比率:
help-Hf178Hf177,<sup>178</sup>Hf/<sup>177</sup>Hf ratio:,<sup>178</sup>Hf/<sup>177</sup>Hf 比率:
help-Hf179Hf177,<sup>179</sup>Hf/<sup>177</sup>Hf ratio:,<sup>179</sup>Hf/<sup>177</sup>Hf 比率:
help-Hf180Hf177,<sup>180</sup>Hf/<sup>177</sup>Hf ratio:,<sup>180</sup>Hf/<sup>177</sup>Hf 比率:
help-LambdaLu176,<sup>176</sup>Lu decay constant:,<sup>176</sup>Lu 衰变常数:
help-classical,Classical MDS,
help-shepard,Shepard plot?,
help-nnlines,Add nearest neighbour lines?,
help-ticks,Show axes,
help-pcex,Plot symbol magnification:,
help-Os186Os192,<sup>186</sup>Os/<sup>192</sup>Os ratio:,<sup>186</sup>Os/<sup>192</sup>Os 比率:
help-pos,Label position:,
help-col,Outline colour:,
help-regression-format,Input format:,输入格式:
help-PbPb-formats,Input format:,输入格式:
PbPb-format-1,1. Normal,1.正常
PbPb-format-2,2. Inverse,2.相反
PbPb-format-3,3. Three ratios,
help-common-Pb-option,Common Pb correction:,
common-Pb-correction-none,none,
common-Pb-correction-nominal,nominal,
common-Pb-correction-isochron,isochron,
help-LambdaU235,<sup>235</sup>U decay constant:,<sup>235</sup>U 衰变常数:
help-Pb206Pb204,Initial <sup>206</sup>Pb/<sup>204</sup>Pb:,
help-Pb207Pb204,Initial <sup>207</sup>Pb/<sup>204</sup>Pb:,
help-exterr-radial,Propagate systematic uncertainties?,传播系统的不确定性?
help-transformation,Transformation:,
radial-log,logarithmic,
radial-lin,linear,
radial-arcsin,arcsin,
help-mixtures,Finite mixtures:,
peakfit-none,0 (none),
peakfit-auto,auto,
peakfit-min,minimum,
help-discordance-filter,Discordance filter:,
help-verticals,Draw vertical lines at steps?,
help-mint-radial,Minimum value:,
help-t0,Central value:,
help-maxt-radial,Maximum value:,
help-radial-pch,Plot character:,
help-RbSr-formats,Input format:,输入格式:
PD-format-1,1. Normal,1.正常
PD-format-2,2. Inverse,2.相反
PD-format-3,3. Concentrations,
help-Rb85Rb87,<sup>85</sup>Rb/<sup>87</sup>Rb ratio:,<sup>85</sup>Rb/<sup>87</sup>Rb 比率:
help-Sr84Sr86,<sup>84</sup>Sr/<sup>86</sup>Sr ratio:,<sup>84</sup>Sr/<sup>86</sup>Sr 比率:
help-Sr87Sr86,<sup>87</sup>Sr/<sup>86</sup>Sr ratio:,<sup>87</sup>Sr/<sup>86</sup>Sr 比率:
help-Sr88Sr86,<sup>88</sup>Sr/<sup>86</sup>Sr ratio,<sup>88</sup>Sr/<sup>86</sup>Sr 比率:
help-LambdaRb87,<sup>87</sup>Rb decay constant:,<sup>87</sup>Rb 衰变常数:
help-Os184Os192,<sup>184</sup>Os/<sup>192</sup>Os ratio:,<sup>184</sup>Os/<sup>192</sup>Os 比率:
help-Re185Re187,<sup>185</sup>Re/<sup>187</sup>Re ratio:,<sup>185</sup>Re/<sup>187</sup>Re 比率:
help-LuHf-formats,Input format:,输入格式:
help-ReOs-formats,Input format:,输入格式:
help-Os187Os192,<sup>187</sup>Os/<sup>192</sup>Os ratio:,<sup>187</sup>Os/<sup>192</sup>Os 比率:
help-Os188Os192,<sup>188</sup>Os/<sup>192</sup>Os ratio:,<sup>188</sup>Os/<sup>192</sup>Os 比率:
help-Os189Os192,<sup>189</sup>Os/<sup>192</sup>Os ratio:,<sup>189</sup>Os/<sup>192</sup>Os 比率:
help-Os190Os192,<sup>190</sup>Os/<sup>192</sup>Os ratio:,<sup>190</sup>Os/<sup>192</sup>Os 比率:
help-LambdaRe187,<sup>187</sup>Re decay constant:,<sup>187</sup>Re 衰变常数:
help-SmNd-formats,Input format:,输入格式:
help-Sm144Sm152,<sup>144</sup>Sm/<sup>152</sup>Sm ratio:,<sup>144</sup>Sm/<sup>152</sup>Sm 比率:
help-Sm147Sm152,<sup>147</sup>Sm/<sup>152</sup>Sm ratio:,<sup>147</sup>Sm/<sup>152</sup>Sm 比率:
help-Sm148Sm152,<sup>148</sup>Sm/<sup>152</sup>Sm ratio:,<sup>148</sup>Sm/<sup>152</sup>Sm 比率:
help-Sm149Sm152,<sup>149</sup>Sm/<sup>152</sup>Sm ratio:,<sup>149</sup>Sm/<sup>152</sup>Sm 比率:
help-Sm150Sm152,<sup>150</sup>Sm/<sup>152</sup>Sm ratio:,<sup>150</sup>Sm/<sup>152</sup>Sm 比率:
help-Sm154Sm152,<sup>154</sup>Sm/<sup>152</sup>Sm ratio:,<sup>154</sup>Sm/<sup>152</sup>Sm 比率:
help-Nd142Nd144,<sup>142</sup>Nd/<sup>144</sup>Nd ratio:,<sup>142</sup>Nd/<sup>144</sup>Nd 比率:
help-Nd143Nd144,<sup>143</sup>Nd/<sup>144</sup>Nd ratio:,<sup>143</sup>Nd/<sup>144</sup>Nd 比率:
help-Nd145Nd144,<sup>145</sup>Nd/<sup>144</sup>Nd ratio:,<sup>145</sup>Nd/<sup>144</sup>Nd 比率:
help-Nd146Nd144,<sup>146</sup>Nd/<sup>144</sup>Nd ratio:,<sup>146</sup>Nd/<sup>144</sup>Nd 比率:
help-Nd148Nd144,<sup>148</sup>Nd/<sup>144</sup>Nd ratio:,<sup>148</sup>Nd/<sup>144</sup>Nd 比率:
help-Nd150Nd144,<sup>150</sup>Nd/<sup>144</sup>Nd ratio:,<sup>150</sup>Nd/<sup>144</sup>Nd 比率:
help-LambdaSm147,<sup>147</sup>Sm decay constant:,<sup>147</sup>Sm 衰变常数:
help-plateau,Extract plateau?,
help-detritus,detrital <sup>230</sup>Th correction:,
help-LambdaU234,<sup>234</sup>U decay constant:,<sup>234</sup>U 衰变常数:
help-LambdaTh230,<sup>230</sup>Th decay constant:,<sup>230</sup>Th 衰变常数:
help-ThU-formats,Input format:,输入格式:
detrital-correction-none,none,
detrital-correction-isochron,isochron,
detrital-correction-assumed,assumed,
detrital-correction-measured,measured,
help-UPb-formats,Input format:,输入格式:
diseq-none,none,
help-U48-UPb,<sup>234</sup>U disequilibrium:,
help-diseq,Apply disequilibrium correction?,
diseq-initial,initial,
diseq-measured,measured,
help-ThU-UPb,<sup>230</sup>Th disequilibrium:,
diseq-magma,magma,
help-PaU-UPb,<sup>231</sup>Pa disequilibrium:,
help-LambdaTh232,<sup>232</sup>Th decay constant:,<sup>232</sup>Th 衰变常数:
help-LambdaRa226,<sup>226</sup>Ra decay constant:,<sup>226</sup>Ra 衰变常数:
help-LambdaPa231,<sup>231</sup>Pa decay constant:,<sup>231</sup>Pa 衰变常数:
help-Pb207Pb206,Initial <sup>207</sup>Pb/<sup>206</sup>Pb ratio:,
help-Pb208Pb206,Initial <sup>208</sup>Pb/<sup>206</sup>Pb ratio:,
help-Pb208Pb207,Initial <sup>208</sup>Pb/<sup>207</sup>Pb ratio:,
help-RaU-UPb,<sup>226</sup>Ra disequilibrium:,
help-ReOs-i2i,Use isochron intercept as initial <sup>187</sup>Os/<sup>187</sup>Os-ratio,
help-maxx,Maximum value:,
help-minx,Minimum value:,
help-pch,Plot character:,
ages-75,The <sup>207</sup>Pb/<sup>235</sup>U-ages.,
UPb-75,Measured <sup>207</sup>Pb/<sup>235</sup>U-ratios.,
UPb-err75,"Analytical uncertainty (<span class=""show4ierr1 show4ierr3 hide4ierr2 hide4ierr4"">1</span><span class=""show4ierr2 show4ierr4 hide4ierr1 hide4ierr3"">2</span>&sigma;<span class=""show4ierr3 show4ierr4 hide4ierr1 hide4ierr2"">%</span>) of the <sup>207</sup>Pb/<sup>235</sup>U-ratios.",
UPb-68,Measured <sup>206</sup>Pb/<sup>238</sup>U-ratios.,
UPb-err68,"Analytical uncertainty
      (<span class=""show4ierr1 show4ierr3 hide4ierr2 hide4ierr4"">1</span><span class=""show4ierr2 show4ierr4 hide4ierr1 hide4ierr3"">2</span>&sigma;<span class=""show4ierr3 show4ierr4 hide4ierr1 hide4ierr2"">%</span>)
      of the <sup>206</sup>Pb/<sup>238</sup>U-ratios.",
UPb-86,Measured <sup>238</sup>U/<sup>206</sup>Pb-ratios.,
UPb-err86,"Analytical uncertainty (<span class=""show4ierr1 show4ierr3 hide4ierr2 hide4ierr4"">1</span><span class=""show4ierr2 show4ierr4 hide4ierr1 hide4ierr3"">2</span>&sigma;<span class=""show4ierr3 show4ierr4 hide4ierr1 hide4ierr2"">%</span>) of the <sup>238</sup>U/<sup>206</sup>Pb-ratios.",
UPb-76,Measured <sup>207</sup>Pb/<sup>206</sup>Pb-ratios.,
UPb-err76,"Analytical uncertainty (<span class=""show4ierr1 show4ierr3 hide4ierr2 hide4ierr4"">1</span><span class=""show4ierr2 show4ierr4 hide4ierr1 hide4ierr3"">2</span>&sigma;<span class=""show4ierr3 show4ierr4 hide4ierr1 hide4ierr2"">%</span>) of the <sup>207</sup>Pb/<sup>206</sup>Pb-ratios.",
UPb-rho7568,Error correlation between the <sup>207</sup>Pb/<sup>235</sup>U- and <sup>206</sup>Pb/<sup>238</sup>U-ratios.,
UPb-rho8676,Error correlation between the <sup>238</sup>U/<sup>206</sup>Pb- and <sup>207</sup>Pb/<sup>206</sup>Pb-ratios (optional).,
UPb-48,Measured <sup>204</sup>Pb/<sup>238</sup>U-ratios.,
UPb-err48,"Analytical uncertainty (<span class=""show4ierr1 show4ierr3 hide4ierr2 hide4ierr4"">1</span><span class=""show4ierr2 show4ierr4 hide4ierr1 hide4ierr3"">2</span>&sigma;<span class=""show4ierr3 show4ierr4 hide4ierr1 hide4ierr2"">%</span>) of the <sup>204</sup>Pb/<sup>238</sup>U-ratios.",
UPb-47,Measured <sup>204</sup>Pb/<sup>207</sup>Pb-ratios.,
UPb-err47,"Analytical uncertainty (<span class=""show4ierr1 show4ierr3 hide4ierr2 hide4ierr4"">1</span><span class=""show4ierr2 show4ierr4 hide4ierr1 hide4ierr3"">2</span>&sigma;<span class=""show4ierr3 show4ierr4 hide4ierr1 hide4ierr2"">%</span>) of the <sup>204</sup>Pb/<sup>207</sup>Pb-ratios.",
UPb-46,Measured <sup>204</sup>Pb/<sup>206</sup>Pb-ratios.,
UPb-err46,"Analytical uncertainty (<span class=""show4ierr1 show4ierr3 hide4ierr2 hide4ierr4"">1</span><span class=""show4ierr2 show4ierr4 hide4ierr1 hide4ierr3"">2</span>&sigma;<span class=""show4ierr3 show4ierr4 hide4ierr1 hide4ierr2"">%</span>) of the <sup>204</sup>Pb/<sup>206</sup>Pb-ratios.",
UPb-rhoXZ-8646,Error correlation between the <sup>238</sup>U/<sup>206</sup>Pb- and <sup>204</sup>Pb/<sup>206</sup>Pb-ratios.,
UPb-rhoYZ-8676,Error correlation between the <sup>238</sup>U/<sup>206</sup>Pb- and <sup>207</sup>Pb/<sup>206</sup>Pb-ratios.,
UPb-rhoYZ-6848,Error correlation between the <sup>206</sup>Pb/<sup>238</sup>U- and <sup>204</sup>Pb/<sup>238</sup>U-ratios.,
UPb-rhoXZ-7548,Error correlation between the <sup>207</sup>Pb/<sup>235</sup>U- and <sup>204</sup>Pb/<sup>238</sup>U-ratios.,
UPb-rhoXY-7568,Error correlation between the <sup>207</sup>Pb/<sup>235</sup>U- and <sup>206</sup>Pb/<sup>238</sup>U-ratios.,
UPb-rhoYZ-7646,Error correlation between the <sup>207</sup>Pb/<sup>206</sup>Pb- and <sup>204</sup>Pb/<sup>206</sup>Pb-ratios.,
UPb-82,Measured <sup>208</sup>Pb/<sup>232</sup>Th-ratios.,
UPb-err82,"Analytical uncertainty (<span class=""show4ierr1 show4ierr3 hide4ierr2 hide4ierr4"">1</span><span class=""show4ierr2 show4ierr4 hide4ierr1 hide4ierr3"">2</span>&sigma;<span class=""show4ierr3 show4ierr4 hide4ierr1 hide4ierr2"">%</span>) of the <sup>208</sup>Pb/<sup>232</sup>Th-ratios.",
UPb-0806,Measured <sup>208</sup>Pb/<sup>206</sup>Pb-ratios.,
UPb-err0806,"Analytical uncertainty (<span class=""show4ierr1 show4ierr3 hide4ierr2 hide4ierr4"">1</span><span class=""show4ierr2 show4ierr4 hide4ierr1 hide4ierr3"">2</span>&sigma;<span class=""show4ierr3 show4ierr4 hide4ierr1 hide4ierr2"">%</span>) of the <sup>208</sup>Pb/<sup>206</sup>Pb-ratios.",
UPb-3238,Measured <sup>232</sup>Th/<sup>238</sup>U-ratios.,
UPb-err3238,"Analytical uncertainty (<span class=""show4ierr1 show4ierr3 hide4ierr2 hide4ierr4"">1</span><span class=""show4ierr2 show4ierr4 hide4ierr1 hide4ierr3"">2</span>&sigma;<span class=""show4ierr3 show4ierr4 hide4ierr1 hide4ierr2"">%</span>) of the <sup>232</sup>Th/<sup>238</sup>U-ratios.",
UPb-rhoWX-7568,Error correlation between the <sup>207</sup>Pb/<sup>235</sup>U- and <sup>206</sup>Pb/<sup>238</sup>U-ratios.,
UPb-rhoWY-7582,Error correlation between the <sup>207</sup>Pb/<sup>235</sup>U- and <sup>208</sup>Pb/<sup>232</sup>Th-ratios.,
UPb-rhoWZ-753238,Error correlation between the <sup>207</sup>Pb/<sup>235</sup>U- and <sup>232</sup>Th/<sup>238</sup>U-ratios.,
UPb-rhoXY-680832,Error correlation between the <sup>206</sup>Pb/<sup>238</sup>U- and <sup>208</sup>Pb/<sup>232</sup>Th-ratios.,
UPb-rhoXZ-683238,Error correlation between the <sup>206</sup>Pb/<sup>238</sup>U- and <sup>232</sup>Th/<sup>238</sup>U-ratios.,
UPb-rhowYZ-08323238,Error correlation between the <sup>208</sup>Pb/<sup>232</sup>Th- and <sup>232</sup>Th/<sup>238</sup>U-ratios.,
UPb-rhoWX-8676,Error correlation between the <sup>238</sup>U/<sup>206</sup>Pb- and <sup>207</sup>Pb/<sup>206</sup>Pb-ratios (optional).,
UPb-rhoWY-38060806,Error correlation between the <sup>238</sup>U/<sup>206</sup>Pb- and <sup>208</sup>Pb/<sup>206</sup>Pb-ratios (optional).,
UPb-rhoWZ-38063238,Error correlation between the <sup>238</sup>U/<sup>206</sup>Pb- and <sup>232</sup>Th/<sup>238</sup>U-ratios (optional).,
UPb-rhoXY-7686,Error correlation between the <sup>207</sup>Pb/<sup>206</sup>Pb- and <sup>208</sup>Pb/<sup>206</sup>Pb-ratios (optional).,
UPb-rhoXZ-763238,Error correlation between the <sup>207</sup>Pb/<sup>206</sup>Pb- and <sup>232</sup>Th/<sup>238</sup>U-ratios (optional).,
UPb-rhoYZ-08063238,Error correlation between the <sup>208</sup>Pb/<sup>206</sup>Pb- and <sup>232</sup>Th/<sup>238</sup>U-ratios (optional).,
UPb-C,Optional variable to be used as fill colours in concordia and radial plots.,
UPb-omit,Optional variable used to hide or ignore aliquots. Aliquots marked as (lowercase) '<tt>x</tt>' are plotted (except on KDEs and CADs) but ignored for numerical analysis; Aliquots marked as (uppercase) '<tt>X</tt>' are removed from both plots and calculations.,
UPb-redundancy,"If <tt>rhoXY</tt>, <tt>rhoXZ</tt> or <tt>rhoYZ</tt> are omitted, then their value will be inferred from the redundancy between the three sets of standard errors (<tt>s[X]</tt>, <tt>s[Y]</tt> and <tt>s[Z]</tt>). This inference assumes that these errors are based on the same number of data points. If some data has been rejected from one ratio but not another, because of isobaric interferences, instrument issues, outlier rejection, or any other reason, then this method will not work.",
UPb-rhoXY-8676,Error correlation between the <sup>238</sup>U/<sup>206</sup>Pb- and <sup>207</sup>Pb/<sup>206</sup>Pb-ratios.,
home,Home,主页
options,Options,选项
help,Help,帮助
defaults,Defaults,重置设置
clear,Clear,清空数据
open,Open,打开
save,Save,保存文件
plot,PLOT,生成投图
run,RUN,运行
IsoplotR-version,This is IsoplotR/IsoplotRgui GitHub version,这是 IsoplotR/IsoplotRgui GitHub 版本
GitHub-version,the latest stable version is,最新的稳定版本是
reference,Citable reference:,"如果使用本软件,请引用软件开发者 Pieter Vermeesch 所发表的这篇相关文章:"
ages-err-75,The estimated uncertainty (standard error) of the <sup>207</sup>Pb/<sup>235</sup>U-ages.,
ages-68,The <sup>206</sup>Pb/<sup>238</sup>U-ages.,
ages-err-68,The estimated uncertainty (standard error) of the <sup>206</sup>Pb/<sup>238</sup>U-ages.,
ages-76,The <sup>207</sup>Pb/<sup>206</sup>Pb-ages.,
ages-err-76,The estimated uncertainty (standard error) of the <sup>207</sup>Pb/<sup>206</sup>Pb-ages.,
ages-82,The <sup>208</sup>Pb/<sup>232</sup>Th-ages.,
ages-err-82,The estimated uncertainty (standard error) of the <sup>208</sup>Pb/<sup>232</sup>Th-ages.,
ages-tconc,The single-grain concordia age. This is the maximum likelihood intersection between the (Wetherill) concordia line and the (<sup>207</sup>Pb/<sup>235</sup>U-<sup>206</sup>Pb/<sup>238</sup>U) error ellipse.,
ages-err-tconc,The estimated uncertainty (standard error) of the single-grain.,
ages-pconc,"The p-value for concordance. Note: it would be unwise to use the p-value value as a concordance filter. Doing so would 'punish' high precision measurements, which are more likely to fail the Chi-square test than low precision measurements. The latter would therefore be 'rewarded' by such a criterion.",
the,The,
ages,ages,
ages-se,The estimated uncertainty (standard error) of the,
ages-se-48_0,Estimated uncertainty (standard error) of the initial <sup>234</sup>U/<sup>230</sup>Th-ratio.,
ages-corr-t-48_0,Correlation coefficient between the <sup>230</sup>Th-<sup>234</sup>U-<sup>238</sup>U age and the initial <sup>234</sup>U/<sup>230</sup>Th-ratio uncertainties.,
ArAr-J,Irradiation constant and its analytical uncertainty,
ArAr-3940,Measured <sup>39</sup>Ar/<sup>40</sup>Ar-ratios.,
ArAr-err-3940,Analytical uncertainty of the <sup>39</sup>Ar/<sup>40</sup>Ar-ratios ,
ArAr-3640,Measured <sup>36</sup>Ar/<sup>40</sup>Ar-ratios.,
