id,en,cn
help_Ar40Ar36,Atmospheric <sup>40</sup>Ar/<sup>36</sup>Ar ratio:,大气<sup>40</sup>Ar/<sup>36</sup>Ar 比值
help_LambdaK40,<sup>40</sup>K decay constant:,<sup>40</sup>K 衰变常数:
help_show_p,Show p-value for concordance?, 
help_ArAr_i2i,Use isochron intercept as initial <sup>40</sup>Ar/<sup>36</sup>Ar-ratio?,使用等时线截距作为初始<sup>40</sup>Ar/<sup>36</sup>Ar比值
help_KCa_i2i,Use isochron intercept as initial <sup>40</sup>Ca/<sup>44</sup>Ca-ratio?,使用等时线截距作为初始<sup>40</sup>Ca/<sup>44</sup>Ca比值
help_SmNd_i2i,Use isochron intercept as initial <sup>143</sup>Nd/<sup>144</sup>Nd-ratio?,使用等时线截距作为初始<sup>143</sup>Nd/<sup>144</sup>Nd比值？
help_RbSr_i2i,Use isochron intercept as initial <sup>87</sup>Sr/<sup>86</sup>Sr-ratio?,使用等时线截距作为初始<sup>87</sup>Sr/<sup>86</sup>Sr比值？
help_LuHf_i2i,Use isochron intercept as initial <sup>176</sup>Hf/<sup>177</sup>Hf-ratio?,使用等时线截距作为初始 <sup>176</sup>Hf/<sup>177</sup>Hf比值？
help_ThU_i2i,Use the isochron intercept to estimate the initial <sup>230</sup>Th/<sup>238</sup>U-ratio?,使用等时线截距估算初始<sup>230</sup>Th/<sup>238</sup>U比值？
help_sigdig,Significant digits:,有效数字：
help_randomeffects,Random effects model?,随机效应模型？
help_outliers,Reject outliers?,回避异常值？
help_ranked,Rank the ages?,年龄排序？
help_UPb_age_type,Type of U-Pb age:,U-Pb年龄类型：
UPb_age_type_1,1: 07/35 age,1：07/35年龄
UPb_age_type_2,2: 06/38 age,2：06/38年龄
UPb_age_type_3,3: 07/06 age,3：07/06年龄
UPb_age_type_4,4: 7/6/8 age,4：7/6/8年龄
UPb_age_type_5,5: concordia age,5：协和年龄
UPb_age_type_6,6: 08/32 age,6：08/32年龄
discordance_filter_before_common_Pb,before common Pb correction,普通铅校正前
discordance_filter_after_common_Pb,after common Pb correction,普通铅校正后
help_mindisc,Minimum discordance:,最小不协和度 
help_maxdisc,Maximum discordance:,最大不协和度
help_mint_average,Minimum age limit:,最小年龄限制
help_maxt_average,Maximum age limit:,最大年龄限制
help_alpha,Probability cutoff:,概率断开点：
help_clabel,Colour label:,标注颜色：
help_outlier_col,Outlier colour:,异常值颜色：
help_bg,Fill colour:,充填颜色：
help_cex,Font magnification:,字体放大倍数：
help_colmap,Colour map:,颜色表：
help_concordia_type,Concordia type:,协和类型：
conc_age_option_0,no,否
conc_age_option_1,concordia,协和
conc_age_option_2,discordia (model-1),不协和（模式一）
conc_age_option_3,discordia (model-2),不协和（模式二）
conc_age_option_4,discordia (model-3),不协和（模式三）
no_discordia_anchor,no,否
discordia_age_anchor,age,年龄
help_tanchor,Discordia anchor:,指定的不协和度
help_mint_concordia,Minimum t:,t最小值：
help_maxt_concordia,Maximum t:,t最大值：
help_minx_concordia,Minimum X:,X轴最小值：
help_maxx_concordia,Maximum X:,X轴最大值：
help_miny_concordia,Minimum Y:,Y轴最小值：
help_maxy_concordia,Maximum Y:,Y轴最大值：
help_mineral_option,Mineral:,矿物：
FT_ICP_absolute,ICP (absolute),ICP (绝对值)
FT_ICP_zeta,ICP (&zeta;),ICP (&zeta;)
help_ellipse_col,Ellipse colour:,误差椭圆颜色：
help_concordia_ticks,Age ticks:,年龄刻度个数：
help_shownumbers,Show sample numbers?,显示样品序号？
help_headers_on,Sample names on first row?,样品名位于第一排？
help_hide_detritals,Samples to omit:,需要忽略的样品：
help_transform_evolution,Plot as <sup>234</sup>U/<sup>238</sup>U vs. age?,投图为<sup>234</sup>U/<sup>238</sup>U vs. 年龄？
help_isochron_evolution,Calculate isochron age?,计算等时线年龄？
help_evolution_isochron_models,Regression model:,回归模型：
FT_EDM,EDM,外部检测法（EDM）
help_FT_formats,Method:,方法：
help_max48,Maximum <sup>234</sup>U/<sup>238</sup>U:,最大 <sup>234</sup>U/<sup>238</sup>U:
help_min48,Minimum <sup>234</sup>U/<sup>238</sup>U:,最小 <sup>234</sup>U/<sup>238</sup>U:
help_max08,Maximum <sup>230</sup>Th/<sup>238</sup>U:,最大 <sup>230</sup>Th/<sup>238</sup>U:
help_min08,Minimum <sup>230</sup>Th/<sup>238</sup>U:,最小 <sup>230</sup>Th/<sup>238</sup>U:
help_maxt_evolution,Maximum age:,最大年龄
help_mint_evolution,Minimum age:,最小年龄
isochron_model_3,3. Maximum likelihood with overdispersion,3.过度离散的极大似然估计
isochron_model_2,2. Ordinary least squares,2.普通最小二乘法
isochron_model_1,1. Maximum likelihood,1.极大似然估计
apatite,apatite,磷灰石
zircon,zircon,锆石
help_U238U235,<sup>238</sup>U/<sup>235</sup>U ratio:,<sup>238</sup>U/<sup>235</sup>U 比率：
help_LambdaU238,<sup>238</sup>U decay constant:,<sup>238</sup>U 衰变常数：
help_LambdaFission,<sup>238</sup>U fission decay constant:,<sup>238</sup>U 裂变衰变常数：
help_etchfact,efficiency factor:,效率因子
help_tracklength,equivalent isotropic track length:,等效各向同性径迹长度：
help_mindens,mineral density:,矿物密度：
help_logratio,Logratio plot?,对数比率投图？
help_showcentralcomp,Show central composition?,显示中心的组成
helioplot_model_1,1. Weighted mean,1.加权平均
helioplot_model_2,2. Unweighted mean,2.非加权平均
helioplot_model_3,3. Weighted mean with overdispersion,3. 过度离散的加权平均
help_minx_helioplot,Minimum log[U/He] limit:, log[U/He]下限：
help_maxx_helioplot,Maximum log[U/He] limit:, log[U/He]上限：
help_miny_helioplot,Minimum log[Th/He] limit:, log[Th/He]下限：
help_maxy_helioplot,Maximum log[Th/He] limit:, log[Th/He]上限：
help_fact,Scaling factors:,比例因子：
help_ierr,Input errors:,输入误差类型：
1se_abs,1se (abs),1se (绝对值)
2se_abs,2se (abs),2se (绝对值)
1se_rel,1se (%),1se (百分比)
2se_rel,2se (%),2se (百分比)
help_conc_age_option,Calculate,计算
help_anchor_option,Anchored discordia line?,固定不谐和曲线
help_ThU_isochron_types,Type:, 类型：
help_UPb_isochron_types,Type:, 类型：
Rosholt_A,1. <tt>0/2</tt> vs. <tt>8/2</tt> (Rosholt A),1. <tt>0/2</tt> vs. <tt>8/2</tt> (Rosholt A)
Rosholt_B,3. <tt>4/2</tt> vs. <tt>8/2</tt> (Rosholt B),3. <tt>4/2</tt> vs. <tt>8/2</tt> (Rosholt B)
Osmond_A,2. <tt>0/8</tt> vs. <tt>2/8</tt> (Osmond A),2. <tt>0/8</tt> vs. <tt>2/8</tt> (Osmond A)
Osmond_B,4. <tt>4/8</tt> vs. <tt>2/8</tt> (Osmond B),4. <tt>4/8</tt> vs. <tt>2/8</tt> (Osmond B)
UPb_isochron_type_1,1. <tt>(04 or 08c)/06</tt> vs. <tt>38/06</tt>,1. <tt>(04 or 08c)/06</tt> vs. <tt>38/06</tt>
UPb_isochron_type_2,2. <tt>(04 or 08c)/07</tt> vs. <tt>35/07</tt>,2. <tt>(04 or 08c)/07</tt> vs. <tt>35/07</tt>
help_isochron_models,Model:,模型：
help_PbPb_growth,Add Stacey-Kramers Pb-Pb growth curve?,添加Stacey-KramersPb-Pb增长曲线？
help_isochron_minx,Minimum X:,X轴最小值：
help_isochron_maxx,Maximum X:,X轴最大值：
help_isochron_miny,Minimum Y:,Y轴最小值：
help_isochron_maxy,Maximum Y:,Y轴最大值：
help_log,Take logarithms?,取对数？
help_binwidth,Histogram binwidth:, 直方图组距宽度
help_bandwidth,Kernel bandwidth:,内核带宽 
help_Ca40Ca44,<sup>40</sup>Ca/<sup>44</sup>Ca ratio:,<sup>40</sup>Ca/<sup>44</sup>Ca 比率:
KCa_format_3,3. Three ratios,3.三组比值
KCa_format_2,2. Inverse,2.相反
KCa_format_1,1. Normal,1.正常
help_showhist,Show histogram?, 显示直方图？
help_adaptive,Adaptive KDE?,自适应核密度估计？
help_samebandwidth,Same bandwidth for all samples?,所有样品相同的带宽？
help_normalise,Normalise area under the KDEs?,核密度估计下的标准化面积？
help_Lu176Lu175,<sup>176</sup>Lu/<sup>175</sup>Lu ratio:,<sup>176</sup>Lu/<sup>175</sup>Lu 比值：
help_Hf174Hf177,<sup>174</sup>Hf/<sup>177</sup>Hf ratio:,<sup>174</sup>Hf/<sup>177</sup>Hf 比值：
help_Hf176Hf177,<sup>176</sup>Hf/<sup>177</sup>Hf ratio:,<sup>176</sup>Hf/<sup>177</sup>Hf 比值：
help_Hf178Hf177,<sup>178</sup>Hf/<sup>177</sup>Hf ratio:,<sup>178</sup>Hf/<sup>177</sup>Hf 比值：
help_Hf179Hf177,<sup>179</sup>Hf/<sup>177</sup>Hf ratio:,<sup>179</sup>Hf/<sup>177</sup>Hf 比值：
help_Hf180Hf177,<sup>180</sup>Hf/<sup>177</sup>Hf ratio:,<sup>180</sup>Hf/<sup>177</sup>Hf 比值：
help_LambdaLu176,<sup>176</sup>Lu decay constant:,<sup>176</sup>Lu 衰变常数:
help_classical,Classical MDS?,古典多维尺度分析？
help_shepard,Shepard plot?,Shepard投图？
help_nnlines,Add nearest neighbour lines?,添加近邻线？
help_ticks,Show axes?,显示坐标轴？
help_pcex,Plot symbol magnification:,图标放大倍数：
help_Os186Os192,<sup>186</sup>Os/<sup>192</sup>Os ratio:,<sup>186</sup>Os/<sup>192</sup>Os 比值:
help_pos,Label position:,标注位置：
help_col,Outline colour:,轮廓颜色：
PbPb_format_1,1. Normal,1.正常
PbPb_format_2,2. Inverse,2.相反
PbPb_format_3,3. Three ratios,3.三组比值
help_common_Pb_option,Common Pb correction:, 普通铅校正类型
common_Pb_correction_none,none,不作普通铅校正
common_Pb_correction_nominal,nominal,指定普通铅值校正
common_Pb_correction_isochron,isochron,等时线型普通铅校正
help_LambdaU235,<sup>235</sup>U decay constant:,<sup>235</sup>U 衰变常数:
help_Pb206Pb204,Initial <sup>206</sup>Pb/<sup>204</sup>Pb:,初始<sup>206</sup>Pb/<sup>204</sup>Pb：
help_Pb207Pb204,Initial <sup>207</sup>Pb/<sup>204</sup>Pb:,初始<sup>207</sup>Pb/<sup>204</sup>Pb：
help_transformation,Transformation:,转换
radial_log,logarithmic,对数形式
radial_lin,linear,线性形式
radial_arcsin,arcsin,反正弦形式
help_mixtures,Finite mixtures:,有限混合：
peakfit_none,0 (none), 0（无）
peakfit_auto,auto,自动
peakfit_min,minimum,最小值
help_discordance_filter,Discordance filter:,不谐和过滤：
help_verticals,Draw vertical lines at steps?,画各阶纵线？
help_mint_radial,Minimum value:,最小值:
help_t0,Central value:,中值年龄：
help_maxt_radial,Maximum value:,最大值：
PD_format_1,1. Normal,1.正常
PD_format_2,2. Inverse,2.相反
PD_format_3,3. Concentrations,3. 浓度
help_Rb85Rb87,<sup>85</sup>Rb/<sup>87</sup>Rb ratio:,<sup>85</sup>Rb/<sup>87</sup>Rb 比值：
help_Sr84Sr86,<sup>84</sup>Sr/<sup>86</sup>Sr ratio:,<sup>84</sup>Sr/<sup>86</sup>Sr 比值：
help_Sr87Sr86,<sup>87</sup>Sr/<sup>86</sup>Sr ratio:,<sup>87</sup>Sr/<sup>86</sup>Sr 比值：
help_Sr88Sr86,<sup>88</sup>Sr/<sup>86</sup>Sr ratio,<sup>88</sup>Sr/<sup>86</sup>Sr 比值：
help_LambdaRb87,<sup>87</sup>Rb decay constant:,<sup>87</sup>Rb 衰变常数:
help_Os184Os192,<sup>184</sup>Os/<sup>192</sup>Os ratio:,<sup>184</sup>Os/<sup>192</sup>Os 比值：
help_Re185Re187,<sup>185</sup>Re/<sup>187</sup>Re ratio:,<sup>185</sup>Re/<sup>187</sup>Re 比值：
help_Os187Os192,<sup>187</sup>Os/<sup>192</sup>Os ratio:,<sup>187</sup>Os/<sup>192</sup>Os 比值：
help_Os188Os192,<sup>188</sup>Os/<sup>192</sup>Os ratio:,<sup>188</sup>Os/<sup>192</sup>Os 比值：
help_Os189Os192,<sup>189</sup>Os/<sup>192</sup>Os ratio:,<sup>189</sup>Os/<sup>192</sup>Os 比值：
help_Os190Os192,<sup>190</sup>Os/<sup>192</sup>Os ratio:,<sup>190</sup>Os/<sup>192</sup>Os 比值：
help_LambdaRe187,<sup>187</sup>Re decay constant:,<sup>187</sup>Re 衰变常数:
help_Sm144Sm152,<sup>144</sup>Sm/<sup>152</sup>Sm ratio:,<sup>144</sup>Sm/<sup>152</sup>Sm 比值：
help_Sm147Sm152,<sup>147</sup>Sm/<sup>152</sup>Sm ratio:,<sup>147</sup>Sm/<sup>152</sup>Sm 比值：
help_Sm148Sm152,<sup>148</sup>Sm/<sup>152</sup>Sm ratio:,<sup>148</sup>Sm/<sup>152</sup>Sm 比值：
help_Sm149Sm152,<sup>149</sup>Sm/<sup>152</sup>Sm ratio:,<sup>149</sup>Sm/<sup>152</sup>Sm 比值：
help_Sm150Sm152,<sup>150</sup>Sm/<sup>152</sup>Sm ratio:,<sup>150</sup>Sm/<sup>152</sup>Sm 比值：
help_Sm154Sm152,<sup>154</sup>Sm/<sup>152</sup>Sm ratio:,<sup>154</sup>Sm/<sup>152</sup>Sm 比值：
help_Nd142Nd144,<sup>142</sup>Nd/<sup>144</sup>Nd ratio:,<sup>142</sup>Nd/<sup>144</sup>Nd 比值：
help_Nd143Nd144,<sup>143</sup>Nd/<sup>144</sup>Nd ratio:,<sup>143</sup>Nd/<sup>144</sup>Nd 比值：
help_Nd145Nd144,<sup>145</sup>Nd/<sup>144</sup>Nd ratio:,<sup>145</sup>Nd/<sup>144</sup>Nd 比值：
help_Nd146Nd144,<sup>146</sup>Nd/<sup>144</sup>Nd ratio:,<sup>146</sup>Nd/<sup>144</sup>Nd 比值：
help_Nd148Nd144,<sup>148</sup>Nd/<sup>144</sup>Nd ratio:,<sup>148</sup>Nd/<sup>144</sup>Nd 比值：
help_Nd150Nd144,<sup>150</sup>Nd/<sup>144</sup>Nd ratio:,<sup>150</sup>Nd/<sup>144</sup>Nd 比值：
help_LambdaSm147,<sup>147</sup>Sm decay constant:,<sup>147</sup>Sm 衰变常数:
help_plateau,Extract plateau?,显示年龄坪？
help_detritus,detrital <sup>230</sup>Th correction:,碎屑成因<sup>230</sup>Th校正：
help_LambdaU234,<sup>234</sup>U decay constant:,<sup>234</sup>U 衰变常数:
help_LambdaTh230,<sup>230</sup>Th decay constant:,<sup>230</sup>Th 衰变常数:
detrital_correction_isochron,isochron,等时线
detrital_correction_assumed,assumed,假定值
detrital_correction_measured,measured,测量值
diseq_none,none,无
help_U48_UPb,<sup>234</sup>U disequilibrium:,<sup>234</sup>U不平衡：
help_diseq,Apply disequilibrium correction?,使用不平衡校正？
diseq_initial,initial,初始
diseq_measured,measured,测量
help_ThU_UPb,<sup>230</sup>Th disequilibrium:,'<sup>230</sup>Th不平衡：
diseq_magma,magma,岩浆
help_PaU_UPb,<sup>231</sup>Pa disequilibrium:,<sup>231</sup>Pa不平衡：
help_LambdaTh232,<sup>232</sup>Th decay constant:,<sup>232</sup>Th 衰变常数:
help_LambdaRa226,<sup>226</sup>Ra decay constant:,<sup>226</sup>Ra 衰变常数:
help_LambdaPa231,<sup>231</sup>Pa decay constant:,<sup>231</sup>Pa 衰变常数:
help_Pb207Pb206,Initial <sup>207</sup>Pb/<sup>206</sup>Pb ratio:,<sup>207</sup>Pb/<sup>206</sup>Pb初始比值：
help_Pb208Pb206,Initial <sup>208</sup>Pb/<sup>206</sup>Pb ratio:,<sup>208</sup>Pb/<sup>206</sup>Pb初始比值：
help_Pb208Pb207,Initial <sup>208</sup>Pb/<sup>207</sup>Pb ratio:,'<sup>208</sup>Pb/<sup>207</sup>Pb初始比值：
help_RaU_UPb,<sup>226</sup>Ra disequilibrium:,<sup>226</sup>Ra不平衡：
help_ReOs_i2i,Use isochron intercept as initial <sup>187</sup>Os/<sup>187</sup>Os-ratio?,使用等时线截距作为<sup>187</sup>Os/<sup>187</sup>Os初始比值？
help_maxx,Maximum value:,最大值
help_minx,Minimum value:,最小值 
ages_75,The <sup>207</sup>Pb/<sup>235</sup>U-ages.,<sup>207</sup>Pb/<sup>235</sup>U年龄。
UPb_75,Measured <sup>207</sup>Pb/<sup>235</sup>U-ratios.,<sup>207</sup>Pb/<sup>235</sup>U测量值。
UPb_err_75,Analytical uncertainty of the <sup>207</sup>Pb/<sup>235</sup>U-ratios,<sup>207</sup>Pb/<sup>235</sup>U测量误差
UPb_68,Measured <sup>206</sup>Pb/<sup>238</sup>U-ratios.,<sup>206</sup>Pb/<sup>238</sup>U测量值。
UPb_err_68,Analytical uncertainty of the <sup>206</sup>Pb/<sup>238</sup>U-ratios, <sup>206</sup>Pb/<sup>238</sup>U测量误差
UPb_86,Measured <sup>238</sup>U/<sup>206</sup>Pb-ratios.,<sup>238</sup>U/<sup>206</sup>Pb测量值。
UPb_err_86,Analytical uncertainty of the <sup>238</sup>U/<sup>206</sup>Pb-ratios,<sup>238</sup>U/<sup>206</sup>Pb测量误差
UPb_76,Measured <sup>207</sup>Pb/<sup>206</sup>Pb-ratios.,<sup>207</sup>Pb/<sup>206</sup>Pb测量值。
UPb_err_76,Analytical uncertainty of the <sup>207</sup>Pb/<sup>206</sup>Pb-ratios,<sup>207</sup>Pb/<sup>206</sup>Pb测量误差
UPb_rho_7568,Error correlation between the <sup>207</sup>Pb/<sup>235</sup>U- and <sup>206</sup>Pb/<sup>238</sup>U-ratios.,<sup>207</sup>Pb/<sup>235</sup>U和<sup>206</sup>Pb/<sup>238</sup>U的误差相关性。
UPb_rho_8676,Error correlation between the <sup>238</sup>U/<sup>206</sup>Pb- and <sup>207</sup>Pb/<sup>206</sup>Pb-ratios (optional).,<sup>238</sup>U/<sup>206</sup>Pb和<sup>207</sup>Pb/<sup>206</sup>Pb误差相关性（可选择的）。
UPb_48,Measured <sup>204</sup>Pb/<sup>238</sup>U-ratios.,<sup>204</sup>Pb/<sup>238</sup>U测量值。
UPb_err_48,Analytical uncertainty of the <sup>204</sup>Pb/<sup>238</sup>U-ratios,<sup>204</sup>Pb/<sup>238</sup>U测量误差
UPb_47,Measured <sup>204</sup>Pb/<sup>207</sup>Pb-ratios.,<sup>204</sup>Pb/<sup>207</sup>Pb测量值。
UPb_err_47,Analytical uncertainty of the <sup>204</sup>Pb/<sup>207</sup>Pb-ratios,<sup>204</sup>Pb/<sup>207</sup>Pb测量误差
UPb_46,Measured <sup>204</sup>Pb/<sup>206</sup>Pb-ratios.,<sup>204</sup>Pb/<sup>206</sup>Pb测量值。
UPb_err_46,Analytical uncertainty of the <sup>204</sup>Pb/<sup>206</sup>Pb-ratios,<sup>204</sup>Pb/<sup>206</sup>Pb测量误差
UPb_rhoXZ_8646,Error correlation between the <sup>238</sup>U/<sup>206</sup>Pb- and <sup>204</sup>Pb/<sup>206</sup>Pb-ratios.,<sup>238</sup>U/<sup>206</sup>Pb和<sup>204</sup>Pb/<sup>206</sup>Pb误差先关性。
UPb_rhoYZ_8676,Error correlation between the <sup>238</sup>U/<sup>206</sup>Pb- and <sup>207</sup>Pb/<sup>206</sup>Pb-ratios.,<sup>238</sup>U/<sup>206</sup>Pb和<sup>207</sup>Pb/<sup>206</sup>Pb误差相关性。
UPb_rhoYZ_6848,Error correlation between the <sup>206</sup>Pb/<sup>238</sup>U- and <sup>204</sup>Pb/<sup>238</sup>U-ratios.,<sup>206</sup>Pb/<sup>238</sup>U和<sup>204</sup>Pb/<sup>238</sup>U误差相关性。
UPb_rhoXZ_7548,Error correlation between the <sup>207</sup>Pb/<sup>235</sup>U- and <sup>204</sup>Pb/<sup>238</sup>U-ratios.,<sup>207</sup>Pb/<sup>235</sup>U和<sup>204</sup>Pb/<sup>238</sup>U误差相关性。
UPb_rhoXY_7568,Error correlation between the <sup>207</sup>Pb/<sup>235</sup>U- and <sup>206</sup>Pb/<sup>238</sup>U-ratios.,<sup>207</sup>Pb/<sup>235</sup>U和<sup>206</sup>Pb/<sup>238</sup>U误差相关性。
UPb_rhoYZ_7646,Error correlation between the <sup>207</sup>Pb/<sup>206</sup>Pb- and <sup>204</sup>Pb/<sup>206</sup>Pb-ratios.,<sup>207</sup>Pb/<sup>206</sup>Pb和<sup>204</sup>Pb/<sup>206</sup>Pb误差相关性。
UPb_82,Measured <sup>208</sup>Pb/<sup>232</sup>Th-ratios.,<sup>208</sup>Pb/<sup>232</sup>Th测量值。
UPb_err_82,Analytical uncertainty of the <sup>208</sup>Pb/<sup>232</sup>Th-ratios,<sup>208</sup>Pb/<sup>232</sup>Th测量误差
UPb_0806,Measured <sup>208</sup>Pb/<sup>206</sup>Pb-ratios.,<sup>208</sup>Pb/<sup>206</sup>Pb测量值。
UPb_err_0806,Analytical uncertainty of the <sup>208</sup>Pb/<sup>206</sup>Pb-ratios,<sup>208</sup>Pb/<sup>206</sup>Pb测量误差
UPb_3238,Measured <sup>232</sup>Th/<sup>238</sup>U-ratios.,<sup>232</sup>Th/<sup>238</sup>U测量值。
UPb_err_3238,Analytical uncertainty of the <sup>232</sup>Th/<sup>238</sup>U-ratios,<sup>232</sup>Th/<sup>238</sup>U测量误差
UPb_rhoWX_7568,Error correlation between the <sup>207</sup>Pb/<sup>235</sup>U- and <sup>206</sup>Pb/<sup>238</sup>U-ratios.,<sup>207</sup>Pb/<sup>235</sup>U和<sup>206</sup>Pb/<sup>238</sup>U误差相关性。
UPb_rhoWY_7582,Error correlation between the <sup>207</sup>Pb/<sup>235</sup>U- and <sup>208</sup>Pb/<sup>232</sup>Th-ratios.,<sup>207</sup>Pb/<sup>235</sup>U和<sup>208</sup>Pb/<sup>232</sup>Th误差相关性。
UPb_rhoWZ_753238,Error correlation between the <sup>207</sup>Pb/<sup>235</sup>U- and <sup>232</sup>Th/<sup>238</sup>U-ratios.,<sup>207</sup>Pb/<sup>235</sup>U和<sup>232</sup>Th/<sup>238</sup>U误差相关性。
UPb_rhoXY_680832,Error correlation between the <sup>206</sup>Pb/<sup>238</sup>U- and <sup>208</sup>Pb/<sup>232</sup>Th-ratios.,<sup>206</sup>Pb/<sup>238</sup>U和<sup>208</sup>Pb/<sup>232</sup>Th误差相关性。
UPb_rhoXZ_683238,Error correlation between the <sup>206</sup>Pb/<sup>238</sup>U- and <sup>232</sup>Th/<sup>238</sup>U-ratios., <sup>206</sup>Pb/<sup>238</sup>U和<sup>232</sup>Th/<sup>238</sup>U误差相关性。
UPb_rhoYZ_08323238,Error correlation between the <sup>208</sup>Pb/<sup>232</sup>Th- and <sup>232</sup>Th/<sup>238</sup>U-ratios.,<sup>208</sup>Pb/<sup>232</sup>Th和<sup>232</sup>Th/<sup>238</sup>U误差相关性。
UPb_rhoWX_8676,Error correlation between the <sup>238</sup>U/<sup>206</sup>Pb- and <sup>207</sup>Pb/<sup>206</sup>Pb-ratios (optional).,<sup>238</sup>U/<sup>206</sup>Pb和<sup>207</sup>Pb/<sup>206</sup>Pb误差相关性（可选择的）。
UPb_rhoWY_38060806,Error correlation between the <sup>238</sup>U/<sup>206</sup>Pb- and <sup>208</sup>Pb/<sup>206</sup>Pb-ratios (optional).,<sup>238</sup>U/<sup>206</sup>Pb和<sup>208</sup>Pb/<sup>206</sup>Pb误差相关性（可选择的）。
UPb_rhoWZ_38063238,Error correlation between the <sup>238</sup>U/<sup>206</sup>Pb- and <sup>232</sup>Th/<sup>238</sup>U-ratios (optional).,<sup>238</sup>U/<sup>206</sup>Pb和<sup>232</sup>Th/<sup>238</sup>U误差相关性（可选择的）。
UPb_rhoXY_7686,Error correlation between the <sup>207</sup>Pb/<sup>206</sup>Pb- and <sup>208</sup>Pb/<sup>206</sup>Pb-ratios (optional).,<sup>207</sup>Pb/<sup>206</sup>Pb和<sup>208</sup>Pb/<sup>206</sup>Pb误差相关性（可选择的）。
UPb_rhoXZ_763238,Error correlation between the <sup>207</sup>Pb/<sup>206</sup>Pb- and <sup>232</sup>Th/<sup>238</sup>U-ratios (optional).,<sup>207</sup>Pb/<sup>206</sup>Pb和<sup>232</sup>Th/<sup>238</sup>U误差相关性（可选择的）。
UPb_rhoYZ_08063238,Error correlation between the <sup>208</sup>Pb/<sup>206</sup>Pb- and <sup>232</sup>Th/<sup>238</sup>U-ratios (optional).,<sup>208</sup>Pb/<sup>206</sup>Pb和<sup>232</sup>Th/<sup>238</sup>U误差相关性（可选择的）。
UPb_C,Optional variable to be used as fill colours in concordia and radial plots.,协和图和星状图充填颜色的可选择变量。
